Several times a week,"To go out;To eat good food;For special events (birthdays, Valentine's Day, etc.)",Weekdays for dinner;Weekend for dinner,Food quality (with quality ingredients),5 -- 10 minutes,Less than Rs.200,Vellore Kitchen,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,,,8
Several times a week,To eat good food,Weekend for dinner,Food quality (with quality ingredients),Not prepared to wait at all,Less than Rs.200,Salim,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,When they make us waiting too much for serving the food,"Paneer tikka masala , Aloo rambha , Garlic paneer",7
About once a month,"For special events (birthdays, Valentine's Day, etc.)",Holidays provide by VIT university,Affordable prices,5 -- 10 minutes,Less than Rs.200,Salim,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Strongly Agree,Slow service sometimes.,Crispy Aloo Chilly,8
About once a month,"To go out;To eat something different, food I don't eat often;For special events (birthdays, Valentine's Day, etc.)",Weekend for lunch;Weekend for dinner;Holidays provide by VIT university,Food quality (with quality ingredients),Not prepared to wait at all,Between Rs.200 and Rs.400,Vellore Kitchen,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Rush,chicken,9
2-3 times a month,"To eat something different, food I don't eat often;For special events (birthdays, Valentine's Day, etc.)",Weekend for dinner;Holidays provide by VIT university,Meal deals,10 -- 15 minutes,Less than Rs.200,Yaseen,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Hygiene and quality can be improved,"Paneer butter masala, chilly potato, paneer tikka",8
Several times a week,To eat good food,Weekdays for lunch;Weekend for dinner,Variety of dishes,10 -- 15 minutes,Between Rs.200 and Rs.400,Earth plate,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Nothing,"Dal, paneer ,mojito",7
About once a week,To eat good food,Weekdays for lunch,Affordable prices,5 -- 10 minutes,Less than Rs.200,Earth plate,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Food is good but its costly,Paneer balls,9
Several times a week,"To eat good food;To eat something different, food I don't eat often",Weekdays for lunch;Weekdays for dinner,Food quality (with quality ingredients),10 -- 15 minutes,Between Rs.200 and Rs.400,Earth plate,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Nothing,"Nonveg sizzler,Steak,Biryani",7
About once a week,"To eat something different, food I don't eat often",Weekdays for dinner,Hygiene,5 -- 10 minutes,Less than Rs.200,Hart lounge,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Nothing,"Alfham,Burger,Grill chicken",8
About once a week,To eat good food,Weekdays for lunch,Food quality (with quality ingredients),10 -- 15 minutes,Less than Rs.200,Tara Ma,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Cleanliness ,Chicken chicken chicken,7
